Transaction ID,Customer ID,Customer Name,Category,Item,Price Per Unit,Quantity,Total Spent,Payment Method,Location,Transaction Date,Discount Applied
TXN_1340876,CUST_33,Tracy Wright,Food,Item_0_MISC,28.75,7.00,$201.25,CreditCard,Online,13/04/2024,TRUE
TXN_5645225,CUST_19,Kevin Reed,Food,Item_6_FOOD,20.15,4.00,$80.60,Cash,Online,28/05/2025,UNKNOWN
TXN_1618566,CUST_22,Terry Montgomery,Milk Products,Item_0_MISC,61.815,4.00,$247.26,CreditCard,Online,24/07/2025,UNKNOWN
TXN_6595358,CUST_31,Robert Bradshaw,Food,Item_2_FOOD,19.32,1.00,$19.32,Cash,In-store,03/06/2024,TRUE
TXN_7720840,CUST_34,John Russell,Patisserie,Item_0_MISC,16.64,7.00,$116.48,CreditCard,In-store,02/11/2025,UNKNOWN
TXN_3582415,CUST_18,Anthony Mann,Patisserie,Item_11_PAT,18.06,10.00,$180.60,Digital Wallet,Online,27/10/2025,TRUE
TXN_9346134,CUST_36,Benjamin Dixon,Milk Products,Item_17_MILK,18.21,10.00,$182.10,Digital Wallet,In-store,24/05/2023,TRUE
TXN_2838159,CUST_36,Robert Russo,Butchers,Item_13_BUT,7.01,3.00,$21.03,Cash,Online,09/09/2024,TRUE
TXN_6615999,CUST_32,Donald Tyler,Milk Products,Item_17_MILK,17.47,3.00,$52.41,Cash,In-store,26/11/2023,FALSE
TXN_8064398,CUST_21,Jennifer Goodman,Milk Products,Item_18_MILK,31.40,7.00,$219.80,CreditCard,In-store,11/10/2025,UNKNOWN
TXN_7322648,CUST_16,Lindsey Olsen,Milk Products,Item_18_MILK,11.89,3.00,$35.67,Digital Wallet,In-store,01/09/2025,TRUE
TXN_8675008,CUST_32,Mackenzie Baker,Food,Item_1_FOOD,19.67,8.00,$157.36,Cash,In-store,18/11/2025,FALSE
TXN_2366101,CUST_49,Laura Hill,Food,Item_0_MISC,22.90,12.50,$286.27,Digital Wallet,In-store,31/07/2023,FALSE
TXN_6505883,CUST_15,Eric Trujillo,Milk Products,UNKNOWN,9.18,6.00,$55.08,Cash,In-store,13/02/2024,TRUE
