Transaction ID,Customer ID,Customer Name,Category,Item,Price Per Unit,Quantity,Total Spent,Payment Method,Location,Transaction Date,Discount Applied
TXN_1340876,CUST_33,Tracy Wright,Fod,Item_0_MISC,28.75,7,201.25,CreditCard,Online,13/04/2024,TRUE
TXN_5645225,CUST_19,Kevin Reed,Food,Item_6_FOOD,20.15,4,80.6,Cash,Onlinee,28/05/2025,
TXN_1618566,CUST_22,Terry Montgomery,MilkPrdcts,Item_0_MISC,,4,247.26,CreditCard,Onlinee,24/07/2025,
TXN_6595358,CUST_31,Robert Bradshaw,Food,Item_2_FOOD,19.32,1,19.32,Cash,In-store,03/06/2024,TRUE
TXN_7720840,CUST_34,John Russell,Patissrie,Item_0_MISC,16.64,7,167.64,CreditCard,In-store,02/11/2025,
TXN_3582415,CUST_18,Anthony Mann,Patisserie,Item_11_PAT,18.06,10,191.12,Digital Wallet,Onlinee,27/10/2025,TRUE
TXN_9346134,CUST_36,Benjamin Dixon,Milk Products,Item_17_MILK,18.21,10,182.1,Digital Wlt,Instore,24/05/2023,TRUE
TXN_2838159,CUST_36,Robert Russo,Butchers,Item_13_BUT,7.01,3,168.11,Cash,Onlinee,09/09/2024,TRUE
TXN_6615999,CUST_32,Donald Tyler,Milk Products,Item_17_MILK,17.47,3,52.41,Cash,Instore,26/11/2023,FALSE
TXN_8064398,CUST_21,Jennifer Goodman,Milk Products,Item_18_MILK,31.4,7,219.8,CreditCard,In-store,11/10/2025,
TXN_7322648,CUST_16,Lindsey Olsen,Milk Products,Item_18_MILK,11.89,3,35.67,Digital Wallet,In-store,01/09/2025,TRUE
TXN_8675008,CUST_32,Mackenzie Baker,Food,Item_1_FOOD,19.67,8,273.09,Cash,Instore,18/11/2025,FALSE
TXN_2366101,CUST_49,Laura Hill,Fod,Item_0_MISC,22.9,,286.27,Digital Wlt,In-store,31/07/2023,FALSE
TXN_6505883,CUST_15,Eric Trujillo,Milk Products,,9.18,6,55.08,Cash,Instore,13/02/2024,TRUE
TXN_3725741,CUST_09,Belinda Clark,Beverages,Item_15_BEV,28.33,8,226.64,Credit Card,Online,24/10/2025,FALSE
TXN_5638736,CUST_05,Monica Henry,Food,Item_6_FOOD,18.92,,55.46,Cash,Online,10/08/2023,FALSE
TXN_7868790,CUST_09,Megan Schaefer,Fod,Item_0_MISC,12.15,9,194.23,CreditCard,Instore,20/07/2025,TRUE
